searchSttr;leg1_from;leg1_to;leg1_date;leg2_from;leg2_to;leg2_date;leg3_form;leg3_to;leg3_date;leg4_from;leg4_to;leg4_date;Price;time_in_leg1;time_in_leg2;time_in_leg3;Label;time_in_bue;time_in_mdz;time_in_scl
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-12*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;10/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;2.411;3;6;5;"SCL;MDZ;AEP,EZE";5;6;3
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-13*SCL_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;11/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;2.411;4;5;5;"SCL;MDZ;AEP,EZE";5;5;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;12/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;2.411;5;4;5;"SCL;MDZ;AEP,EZE";5;4;5
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;13/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;2.411;6;3;5;"SCL;MDZ;AEP,EZE";5;3;6
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-12*SCL_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;10/07/18;MDZ;AEP,EZE;17/07/18;AEP,EZE;POA;21/07/18;2.411;3;7;4;"SCL;MDZ;AEP,EZE";4;7;3
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-13*SCL_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;11/07/18;MDZ;AEP,EZE;17/07/18;AEP,EZE;POA;21/07/18;2.411;4;6;4;"SCL;MDZ;AEP,EZE";4;6;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-14*SCL_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;12/07/18;MDZ;AEP,EZE;17/07/18;AEP,EZE;POA;21/07/18;2.411;5;5;4;"SCL;MDZ;AEP,EZE";4;5;5
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;13/07/18;MDZ;AEP,EZE;17/07/18;AEP,EZE;POA;21/07/18;2.411;6;4;4;"SCL;MDZ;AEP,EZE";4;4;6
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-11*SCL_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;14/07/18;MDZ;AEP,EZE;17/07/18;AEP,EZE;POA;21/07/18;2.411;7;3;4;"SCL;MDZ;AEP,EZE";4;3;7
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-12*SCL_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;10/07/18;MDZ;AEP,EZE;18/07/18;AEP,EZE;POA;21/07/18;2.411;3;8;3;"SCL;MDZ;AEP,EZE";3;8;3
