@relation 'precos_after_analysis-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1,4,7,10'

@attribute leg1_to {'AEP,EZE',SCL,MDZ}
@attribute leg1_date DATE "dd/MM/yyyy"
@attribute leg2_to {MDZ,'AEP,EZE',SCL}
@attribute leg2_date DATE "dd/MM/yyyy"
@attribute leg3_to {SCL,MDZ,'AEP,EZE'}
@attribute leg3_date DATE "dd/MM/yyyy"
@attribute leg4_to {POA}
@attribute leg4_date  DATE "dd/MM/yyyy"
@attribute Price numeric
@attribute time_in_leg1 numeric
@attribute time_in_leg2 numeric
@attribute time_in_leg3 numeric
@attribute Label {'AEP,EZE;MDZ;SCL','SCL;AEP,EZE;MDZ','AEP,EZE;SCL;MDZ','SCL;MDZ;AEP,EZE','MDZ;AEP,EZE;SCL','MDZ;SCL;AEP,EZE'}
@attribute time_in_bue numeric
@attribute time_in_mdz numeric
@attribute time_in_scl numeric

@data
MDZ,07/07/18,'AEP,EZE',11/07/18,SCL,15/07/18,POA,21/07/18,2.61,4,4,6,'MDZ;AEP,EZE;SCL',4,4,6
MDZ,07/07/18,SCL,12/07/18,'AEP,EZE',15/07/18,POA,21/07/18,2.61,5,3,6,'MDZ;SCL;AEP,EZE',6,5,3
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',16/07/18,POA,21/07/18,2.61,3,6,5,'MDZ;SCL;AEP,EZE',5,3,6
MDZ,07/07/18,SCL,12/07/18,'AEP,EZE',16/07/18,POA,21/07/18,2.61,5,4,5,'MDZ;SCL;AEP,EZE',5,5,4
MDZ,07/07/18,SCL,13/07/18,'AEP,EZE',16/07/18,POA,21/07/18,2.61,6,3,5,'MDZ;SCL;AEP,EZE',5,6,3
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',17/07/18,POA,21/07/18,2.61,3,7,4,'MDZ;SCL;AEP,EZE',4,3,7
MDZ,07/07/18,SCL,12/07/18,'AEP,EZE',17/07/18,POA,21/07/18,2.61,5,5,4,'MDZ;SCL;AEP,EZE',4,5,5
MDZ,07/07/18,SCL,13/07/18,'AEP,EZE',17/07/18,POA,21/07/18,2.61,6,4,4,'MDZ;SCL;AEP,EZE',4,6,4
MDZ,07/07/18,SCL,10/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.61,3,8,3,'MDZ;SCL;AEP,EZE',3,3,8
MDZ,07/07/18,SCL,12/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.61,5,6,3,'MDZ;SCL;AEP,EZE',3,5,6
MDZ,07/07/18,SCL,13/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.627,6,5,3,'MDZ;SCL;AEP,EZE',3,6,5
MDZ,07/07/18,SCL,14/07/18,'AEP,EZE',17/07/18,POA,21/07/18,2.692,7,3,4,'MDZ;SCL;AEP,EZE',4,7,3
MDZ,07/07/18,SCL,11/07/18,'AEP,EZE',18/07/18,POA,21/07/18,2.692,4,7,3,'MDZ;SCL;AEP,EZE',3,4,7
MDZ,07/07/18,SCL,11/07/18,'AEP,EZE',17/07/18,POA,21/07/18,2.709,4,6,4,'MDZ;SCL;AEP,EZE',4,4,6
MDZ,07/07/18,SCL,11/07/18,'AEP,EZE',16/07/18,POA,21/07/18,2.785,4,5,5,'MDZ;SCL;AEP,EZE',5,4,5
SCL,07/07/18,'AEP,EZE',10/07/18,MDZ,14/07/18,POA,21/07/18,2.798,3,4,7,'SCL;AEP,EZE;MDZ',4,7,3
